value,5-card,6-card,7-card,8-card,hand,rank
1,4,188,4324,64860,"['A', 'K', 'Q', 'J', 'T']",SF
2,4,184,4140,60720,"['K', 'Q', 'J', 'T', '9']",SF
3,4,184,4140,60720,"['Q', 'J', 'T', '9', '8']",SF
4,4,184,4140,60720,"['J', 'T', '9', '8', '7']",SF
5,4,184,4140,60720,"['T', '9', '8', '7', '6']",SF
6,4,184,4140,60720,"['9', '8', '7', '6', '5']",SF
7,4,184,4140,60720,"['8', '7', '6', '5', '4']",SF
8,4,184,4140,60720,"['7', '6', '5', '4', '3']",SF
9,4,184,4140,60720,"['6', '5', '4', '3', '2']",SF
10,4,184,4140,60720,"['5', '4', '3', '2', 'A']",SF
11,4,182,4052,58825,"['A', 'A', 'A', 'A', 'K']",4K
12,4,166,3364,44361,"['A', 'A', 'A', 'A', 'Q']",4K
13,4,150,2740,32485,"['A', 'A', 'A', 'A', 'J']",4K
14,4,134,2180,22945,"['A', 'A', 'A', 'A', 'T']",4K
15,4,118,1684,15485,"['A', 'A', 'A', 'A', '9']",4K
16,4,102,1252,9849,"['A', 'A', 'A', 'A', '8']",4K
17,4,86,884,5781,"['A', 'A', 'A', 'A', '7']",4K
18,4,70,580,3025,"['A', 'A', 'A', 'A', '6']",4K
19,4,54,340,1321,"['A', 'A', 'A', 'A', '5']",4K
20,4,38,164,425,"['A', 'A', 'A', 'A', '4']",4K
21,4,22,52,69,"['A', 'A', 'A', 'A', '3']",4K
22,4,6,4,1,"['A', 'A', 'A', 'A', '2']",4K
23,4,182,4052,58824,"['K', 'K', 'K', 'K', 'A']",4K
24,4,166,3364,44357,"['K', 'K', 'K', 'K', 'Q']",4K
25,4,150,2740,32485,"['K', 'K', 'K', 'K', 'J']",4K
26,4,134,2180,22945,"['K', 'K', 'K', 'K', 'T']",4K
27,4,118,1684,15485,"['K', 'K', 'K', 'K', '9']",4K
28,4,102,1252,9849,"['K', 'K', 'K', 'K', '8']",4K
29,4,86,884,5781,"['K', 'K', 'K', 'K', '7']",4K
30,4,70,580,3025,"['K', 'K', 'K', 'K', '6']",4K
31,4,54,340,1325,"['K', 'K', 'K', 'K', '5']",4K
32,4,38,164,425,"['K', 'K', 'K', 'K', '4']",4K
33,4,22,52,69,"['K', 'K', 'K', 'K', '3']",4K
34,4,6,4,1,"['K', 'K', 'K', 'K', '2']",4K
35,4,182,4052,58824,"['Q', 'Q', 'Q', 'Q', 'A']",4K
36,4,166,3364,44356,"['Q', 'Q', 'Q', 'Q', 'K']",4K
37,4,150,2740,32481,"['Q', 'Q', 'Q', 'Q', 'J']",4K
38,4,134,2180,22945,"['Q', 'Q', 'Q', 'Q', 'T']",4K
39,4,118,1684,15485,"['Q', 'Q', 'Q', 'Q', '9']",4K
40,4,102,1252,9849,"['Q', 'Q', 'Q', 'Q', '8']",4K
41,4,86,884,5781,"['Q', 'Q', 'Q', 'Q', '7']",4K
42,4,70,580,3025,"['Q', 'Q', 'Q', 'Q', '6']",4K
43,4,54,340,1325,"['Q', 'Q', 'Q', 'Q', '5']",4K
44,4,38,164,425,"['Q', 'Q', 'Q', 'Q', '4']",4K
45,4,22,52,69,"['Q', 'Q', 'Q', 'Q', '3']",4K
46,4,6,4,1,"['Q', 'Q', 'Q', 'Q', '2']",4K
47,4,182,4052,58824,"['J', 'J', 'J', 'J', 'A']",4K
48,4,166,3364,44356,"['J', 'J', 'J', 'J', 'K']",4K
49,4,150,2740,32480,"['J', 'J', 'J', 'J', 'Q']",4K
50,4,134,2180,22941,"['J', 'J', 'J', 'J', 'T']",4K
51,4,118,1684,15485,"['J', 'J', 'J', 'J', '9']",4K
52,4,102,1252,9849,"['J', 'J', 'J', 'J', '8']",4K
53,4,86,884,5781,"['J', 'J', 'J', 'J', '7']",4K
54,4,70,580,3025,"['J', 'J', 'J', 'J', '6']",4K
55,4,54,340,1325,"['J', 'J', 'J', 'J', '5']",4K
56,4,38,164,425,"['J', 'J', 'J', 'J', '4']",4K
57,4,22,52,69,"['J', 'J', 'J', 'J', '3']",4K
58,4,6,4,1,"['J', 'J', 'J', 'J', '2']",4K
59,4,182,4052,58824,"['T', 'T', 'T', 'T', 'A']",4K
60,4,166,3364,44356,"['T', 'T', 'T', 'T', 'K']",4K
61,4,150,2740,32480,"['T', 'T', 'T', 'T', 'Q']",4K
62,4,134,2180,22940,"['T', 'T', 'T', 'T', 'J']",4K
63,4,118,1684,15481,"['T', 'T', 'T', 'T', '9']",4K
64,4,102,1252,9849,"['T', 'T', 'T', 'T', '8']",4K
65,4,86,884,5781,"['T', 'T', 'T', 'T', '7']",4K
66,4,70,580,3025,"['T', 'T', 'T', 'T', '6']",4K
67,4,54,340,1325,"['T', 'T', 'T', 'T', '5']",4K
68,4,38,164,425,"['T', 'T', 'T', 'T', '4']",4K
69,4,22,52,69,"['T', 'T', 'T', 'T', '3']",4K
70,4,6,4,1,"['T', 'T', 'T', 'T', '2']",4K
71,4,182,4052,58828,"['9', '9', '9', '9', 'A']",4K
72,4,166,3364,44356,"['9', '9', '9', '9', 'K']",4K
73,4,150,2740,32480,"['9', '9', '9', '9', 'Q']",4K
74,4,134,2180,22940,"['9', '9', '9', '9', 'J']",4K
75,4,118,1684,15480,"['9', '9', '9', '9', 'T']",4K
76,4,102,1252,9845,"['9', '9', '9', '9', '8']",4K
77,4,86,884,5781,"['9', '9', '9', '9', '7']",4K
78,4,70,580,3025,"['9', '9', '9', '9', '6']",4K
79,4,54,340,1325,"['9', '9', '9', '9', '5']",4K
80,4,38,164,425,"['9', '9', '9', '9', '4']",4K
81,4,22,52,69,"['9', '9', '9', '9', '3']",4K
82,4,6,4,1,"['9', '9', '9', '9', '2']",4K
83,4,182,4052,58828,"['8', '8', '8', '8', 'A']",4K
84,4,166,3364,44360,"['8', '8', '8', '8', 'K']",4K
85,4,150,2740,32480,"['8', '8', '8', '8', 'Q']",4K
86,4,134,2180,22940,"['8', '8', '8', '8', 'J']",4K
87,4,118,1684,15480,"['8', '8', '8', '8', 'T']",4K
88,4,102,1252,9844,"['8', '8', '8', '8', '9']",4K
89,4,86,884,5777,"['8', '8', '8', '8', '7']",4K
90,4,70,580,3025,"['8', '8', '8', '8', '6']",4K
91,4,54,340,1325,"['8', '8', '8', '8', '5']",4K
92,4,38,164,425,"['8', '8', '8', '8', '4']",4K
93,4,22,52,69,"['8', '8', '8', '8', '3']",4K
94,4,6,4,1,"['8', '8', '8', '8', '2']",4K
95,4,182,4052,58828,"['7', '7', '7', '7', 'A']",4K
96,4,166,3364,44360,"['7', '7', '7', '7', 'K']",4K
97,4,150,2740,32484,"['7', '7', '7', '7', 'Q']",4K
98,4,134,2180,22940,"['7', '7', '7', '7', 'J']",4K
99,4,118,1684,15480,"['7', '7', '7', '7', 'T']",4K
100,4,102,1252,9844,"['7', '7', '7', '7', '9']",4K
101,4,86,884,5776,"['7', '7', '7', '7', '8']",4K
102,4,70,580,3021,"['7', '7', '7', '7', '6']",4K
103,4,54,340,1325,"['7', '7', '7', '7', '5']",4K
104,4,38,164,425,"['7', '7', '7', '7', '4']",4K
105,4,22,52,69,"['7', '7', '7', '7', '3']",4K
106,4,6,4,1,"['7', '7', '7', '7', '2']",4K
107,4,182,4052,58828,"['6', '6', '6', '6', 'A']",4K
108,4,166,3364,44360,"['6', '6', '6', '6', 'K']",4K
109,4,150,2740,32484,"['6', '6', '6', '6', 'Q']",4K
110,4,134,2180,22944,"['6', '6', '6', '6', 'J']",4K
111,4,118,1684,15480,"['6', '6', '6', '6', 'T']",4K
112,4,102,1252,9844,"['6', '6', '6', '6', '9']",4K
113,4,86,884,5776,"['6', '6', '6', '6', '8']",4K
114,4,70,580,3020,"['6', '6', '6', '6', '7']",4K
115,4,54,340,1321,"['6', '6', '6', '6', '5']",4K
116,4,38,164,425,"['6', '6', '6', '6', '4']",4K
117,4,22,52,69,"['6', '6', '6', '6', '3']",4K
118,4,6,4,1,"['6', '6', '6', '6', '2']",4K
119,4,182,4052,58824,"['5', '5', '5', '5', 'A']",4K
120,4,166,3364,44360,"['5', '5', '5', '5', 'K']",4K
121,4,150,2740,32484,"['5', '5', '5', '5', 'Q']",4K
122,4,134,2180,22944,"['5', '5', '5', '5', 'J']",4K
123,4,118,1684,15484,"['5', '5', '5', '5', 'T']",4K
124,4,102,1252,9844,"['5', '5', '5', '5', '9']",4K
125,4,86,884,5776,"['5', '5', '5', '5', '8']",4K
126,4,70,580,3020,"['5', '5', '5', '5', '7']",4K
127,4,54,340,1320,"['5', '5', '5', '5', '6']",4K
128,4,38,164,425,"['5', '5', '5', '5', '4']",4K
129,4,22,52,69,"['5', '5', '5', '5', '3']",4K
130,4,6,4,1,"['5', '5', '5', '5', '2']",4K
131,4,182,4052,58824,"['4', '4', '4', '4', 'A']",4K
132,4,166,3364,44360,"['4', '4', '4', '4', 'K']",4K
133,4,150,2740,32484,"['4', '4', '4', '4', 'Q']",4K
134,4,134,2180,22944,"['4', '4', '4', '4', 'J']",4K
135,4,118,1684,15484,"['4', '4', '4', '4', 'T']",4K
136,4,102,1252,9848,"['4', '4', '4', '4', '9']",4K
137,4,86,884,5776,"['4', '4', '4', '4', '8']",4K
138,4,70,580,3020,"['4', '4', '4', '4', '7']",4K
139,4,54,340,1320,"['4', '4', '4', '4', '6']",4K
140,4,38,164,424,"['4', '4', '4', '4', '5']",4K
141,4,22,52,69,"['4', '4', '4', '4', '3']",4K
142,4,6,4,1,"['4', '4', '4', '4', '2']",4K
143,4,182,4052,58824,"['3', '3', '3', '3', 'A']",4K
144,4,166,3364,44360,"['3', '3', '3', '3', 'K']",4K
145,4,150,2740,32484,"['3', '3', '3', '3', 'Q']",4K
146,4,134,2180,22944,"['3', '3', '3', '3', 'J']",4K
147,4,118,1684,15484,"['3', '3', '3', '3', 'T']",4K
148,4,102,1252,9848,"['3', '3', '3', '3', '9']",4K
149,4,86,884,5780,"['3', '3', '3', '3', '8']",4K
150,4,70,580,3020,"['3', '3', '3', '3', '7']",4K
151,4,54,340,1320,"['3', '3', '3', '3', '6']",4K
152,4,38,164,424,"['3', '3', '3', '3', '5']",4K
153,4,22,52,68,"['3', '3', '3', '3', '4']",4K
154,4,6,4,1,"['3', '3', '3', '3', '2']",4K
155,4,182,4052,58824,"['2', '2', '2', '2', 'A']",4K
156,4,166,3364,44360,"['2', '2', '2', '2', 'K']",4K
157,4,150,2740,32484,"['2', '2', '2', '2', 'Q']",4K
158,4,134,2180,22944,"['2', '2', '2', '2', 'J']",4K
159,4,118,1684,15484,"['2', '2', '2', '2', 'T']",4K
160,4,102,1252,9848,"['2', '2', '2', '2', '9']",4K
161,4,86,884,5780,"['2', '2', '2', '2', '8']",4K
162,4,70,580,3024,"['2', '2', '2', '2', '7']",4K
163,4,54,340,1320,"['2', '2', '2', '2', '6']",4K
164,4,38,164,424,"['2', '2', '2', '2', '5']",4K
165,4,22,52,68,"['2', '2', '2', '2', '4']",4K
166,4,6,4,0,"['2', '2', '2', '2', '3']",4K
167,24,1072,23408,332956,"['A', 'A', 'A', 'K', 'K']",FH
168,24,1072,23264,327004,"['A', 'A', 'A', 'Q', 'Q']",FH
169,24,1072,23120,321052,"['A', 'A', 'A', 'J', 'J']",FH
170,24,1072,22976,315100,"['A', 'A', 'A', 'T', 'T']",FH
171,24,1072,22832,309184,"['A', 'A', 'A', '9', '9']",FH
172,24,1072,22688,303232,"['A', 'A', 'A', '8', '8']",FH
173,24,1072,22544,297280,"['A', 'A', 'A', '7', '7']",FH
174,24,1072,22400,291328,"['A', 'A', 'A', '6', '6']",FH
175,24,1072,22256,285340,"['A', 'A', 'A', '5', '5']",FH
176,24,1072,22112,279388,"['A', 'A', 'A', '4', '4']",FH
177,24,1072,21968,273436,"['A', 'A', 'A', '3', '3']",FH
178,24,1072,21824,267484,"['A', 'A', 'A', '2', '2']",FH
179,24,1056,22704,317820,"['K', 'K', 'K', 'A', 'A']",FH
180,24,1072,23264,326968,"['K', 'K', 'K', 'Q', 'Q']",FH
181,24,1072,23120,321016,"['K', 'K', 'K', 'J', 'J']",FH
182,24,1072,22976,315064,"['K', 'K', 'K', 'T', 'T']",FH
183,24,1072,22832,309148,"['K', 'K', 'K', '9', '9']",FH
184,24,1072,22688,303232,"['K', 'K', 'K', '8', '8']",FH
185,24,1072,22544,297280,"['K', 'K', 'K', '7', '7']",FH
186,24,1072,22400,291328,"['K', 'K', 'K', '6', '6']",FH
187,24,1072,22256,285376,"['K', 'K', 'K', '5', '5']",FH
188,24,1072,22112,279424,"['K', 'K', 'K', '4', '4']",FH
189,24,1072,21968,273472,"['K', 'K', 'K', '3', '3']",FH
190,24,1072,21824,267520,"['K', 'K', 'K', '2', '2']",FH
191,24,1056,22704,317724,"['Q', 'Q', 'Q', 'A', 'A']",FH
192,24,1056,22560,311928,"['Q', 'Q', 'Q', 'K', 'K']",FH
193,24,1072,23120,320980,"['Q', 'Q', 'Q', 'J', 'J']",FH
194,24,1072,22976,315028,"['Q', 'Q', 'Q', 'T', 'T']",FH
195,24,1072,22832,309112,"['Q', 'Q', 'Q', '9', '9']",FH
196,24,1072,22688,303196,"['Q', 'Q', 'Q', '8', '8']",FH
197,24,1072,22544,297280,"['Q', 'Q', 'Q', '7', '7']",FH
198,24,1072,22400,291328,"['Q', 'Q', 'Q', '6', '6']",FH
199,24,1072,22256,285376,"['Q', 'Q', 'Q', '5', '5']",FH
200,24,1072,22112,279424,"['Q', 'Q', 'Q', '4', '4']",FH
201,24,1072,21968,273472,"['Q', 'Q', 'Q', '3', '3']",FH
202,24,1072,21824,267520,"['Q', 'Q', 'Q', '2', '2']",FH
203,24,1056,22704,317628,"['J', 'J', 'J', 'A', 'A']",FH
204,24,1056,22560,311832,"['J', 'J', 'J', 'K', 'K']",FH
205,24,1056,22416,306036,"['J', 'J', 'J', 'Q', 'Q']",FH
206,24,1072,22976,314992,"['J', 'J', 'J', 'T', 'T']",FH
207,24,1072,22832,309076,"['J', 'J', 'J', '9', '9']",FH
208,24,1072,22688,303160,"['J', 'J', 'J', '8', '8']",FH
209,24,1072,22544,297244,"['J', 'J', 'J', '7', '7']",FH
210,24,1072,22400,291328,"['J', 'J', 'J', '6', '6']",FH
211,24,1072,22256,285376,"['J', 'J', 'J', '5', '5']",FH
212,24,1072,22112,279424,"['J', 'J', 'J', '4', '4']",FH
213,24,1072,21968,273472,"['J', 'J', 'J', '3', '3']",FH
214,24,1072,21824,267520,"['J', 'J', 'J', '2', '2']",FH
215,24,1056,22704,317532,"['T', 'T', 'T', 'A', 'A']",FH
216,24,1056,22560,311736,"['T', 'T', 'T', 'K', 'K']",FH
217,24,1056,22416,305940,"['T', 'T', 'T', 'Q', 'Q']",FH
218,24,1056,22272,300144,"['T', 'T', 'T', 'J', 'J']",FH
219,24,1072,22832,309040,"['T', 'T', 'T', '9', '9']",FH
220,24,1072,22688,303124,"['T', 'T', 'T', '8', '8']",FH
221,24,1072,22544,297208,"['T', 'T', 'T', '7', '7']",FH
222,24,1072,22400,291292,"['T', 'T', 'T', '6', '6']",FH
223,24,1072,22256,285376,"['T', 'T', 'T', '5', '5']",FH
224,24,1072,22112,279424,"['T', 'T', 'T', '4', '4']",FH
225,24,1072,21968,273472,"['T', 'T', 'T', '3', '3']",FH
226,24,1072,21824,267520,"['T', 'T', 'T', '2', '2']",FH
227,24,1056,22704,317472,"['9', '9', '9', 'A', 'A']",FH
228,24,1056,22560,311676,"['9', '9', '9', 'K', 'K']",FH
229,24,1056,22416,305880,"['9', '9', '9', 'Q', 'Q']",FH
230,24,1056,22272,300084,"['9', '9', '9', 'J', 'J']",FH
231,24,1056,22128,294288,"['9', '9', '9', 'T', 'T']",FH
232,24,1072,22688,303088,"['9', '9', '9', '8', '8']",FH
233,24,1072,22544,297172,"['9', '9', '9', '7', '7']",FH
234,24,1072,22400,291256,"['9', '9', '9', '6', '6']",FH
235,24,1072,22256,285340,"['9', '9', '9', '5', '5']",FH
236,24,1072,22112,279424,"['9', '9', '9', '4', '4']",FH
237,24,1072,21968,273472,"['9', '9', '9', '3', '3']",FH
238,24,1072,21824,267520,"['9', '9', '9', '2', '2']",FH
239,24,1056,22704,317376,"['8', '8', '8', 'A', 'A']",FH
240,24,1056,22560,311616,"['8', '8', '8', 'K', 'K']",FH
241,24,1056,22416,305820,"['8', '8', '8', 'Q', 'Q']",FH
242,24,1056,22272,300024,"['8', '8', '8', 'J', 'J']",FH
243,24,1056,22128,294228,"['8', '8', '8', 'T', 'T']",FH
244,24,1056,21984,288432,"['8', '8', '8', '9', '9']",FH
245,24,1072,22544,297136,"['8', '8', '8', '7', '7']",FH
246,24,1072,22400,291220,"['8', '8', '8', '6', '6']",FH
247,24,1072,22256,285304,"['8', '8', '8', '5', '5']",FH
248,24,1072,22112,279388,"['8', '8', '8', '4', '4']",FH
249,24,1072,21968,273472,"['8', '8', '8', '3', '3']",FH
250,24,1072,21824,267520,"['8', '8', '8', '2', '2']",FH
251,24,1056,22704,317280,"['7', '7', '7', 'A', 'A']",FH
252,24,1056,22560,311520,"['7', '7', '7', 'K', 'K']",FH
253,24,1056,22416,305760,"['7', '7', '7', 'Q', 'Q']",FH
254,24,1056,22272,299964,"['7', '7', '7', 'J', 'J']",FH
255,24,1056,22128,294168,"['7', '7', '7', 'T', 'T']",FH
256,24,1056,21984,288372,"['7', '7', '7', '9', '9']",FH
257,24,1056,21840,282576,"['7', '7', '7', '8', '8']",FH
258,24,1072,22400,291184,"['7', '7', '7', '6', '6']",FH
259,24,1072,22256,285268,"['7', '7', '7', '5', '5']",FH
260,24,1072,22112,279352,"['7', '7', '7', '4', '4']",FH
261,24,1072,21968,273436,"['7', '7', '7', '3', '3']",FH
262,24,1072,21824,267520,"['7', '7', '7', '2', '2']",FH
263,24,1056,22704,317184,"['6', '6', '6', 'A', 'A']",FH
264,24,1056,22560,311424,"['6', '6', '6', 'K', 'K']",FH
265,24,1056,22416,305664,"['6', '6', '6', 'Q', 'Q']",FH
266,24,1056,22272,299904,"['6', '6', '6', 'J', 'J']",FH
267,24,1056,22128,294108,"['6', '6', '6', 'T', 'T']",FH
268,24,1056,21984,288312,"['6', '6', '6', '9', '9']",FH
269,24,1056,21840,282516,"['6', '6', '6', '8', '8']",FH
270,24,1056,21696,276720,"['6', '6', '6', '7', '7']",FH
271,24,1072,22256,285232,"['6', '6', '6', '5', '5']",FH
272,24,1072,22112,279316,"['6', '6', '6', '4', '4']",FH
273,24,1072,21968,273400,"['6', '6', '6', '3', '3']",FH
274,24,1072,21824,267484,"['6', '6', '6', '2', '2']",FH
275,24,1056,22704,317052,"['5', '5', '5', 'A', 'A']",FH
276,24,1056,22560,311328,"['5', '5', '5', 'K', 'K']",FH
277,24,1056,22416,305568,"['5', '5', '5', 'Q', 'Q']",FH
278,24,1056,22272,299808,"['5', '5', '5', 'J', 'J']",FH
279,24,1056,22128,294048,"['5', '5', '5', 'T', 'T']",FH
280,24,1056,21984,288252,"['5', '5', '5', '9', '9']",FH
281,24,1056,21840,282456,"['5', '5', '5', '8', '8']",FH
282,24,1056,21696,276660,"['5', '5', '5', '7', '7']",FH
283,24,1056,21552,270864,"['5', '5', '5', '6', '6']",FH
284,24,1072,22112,279280,"['5', '5', '5', '4', '4']",FH
285,24,1072,21968,273364,"['5', '5', '5', '3', '3']",FH
286,24,1072,21824,267448,"['5', '5', '5', '2', '2']",FH
287,24,1056,22704,316956,"['4', '4', '4', 'A', 'A']",FH
288,24,1056,22560,311232,"['4', '4', '4', 'K', 'K']",FH
289,24,1056,22416,305472,"['4', '4', '4', 'Q', 'Q']",FH
290,24,1056,22272,299712,"['4', '4', '4', 'J', 'J']",FH
291,24,1056,22128,293952,"['4', '4', '4', 'T', 'T']",FH
292,24,1056,21984,288192,"['4', '4', '4', '9', '9']",FH
293,24,1056,21840,282396,"['4', '4', '4', '8', '8']",FH
294,24,1056,21696,276600,"['4', '4', '4', '7', '7']",FH
295,24,1056,21552,270804,"['4', '4', '4', '6', '6']",FH
296,24,1056,21408,265008,"['4', '4', '4', '5', '5']",FH
297,24,1072,21968,273364,"['4', '4', '4', '3', '3']",FH
298,24,1072,21824,267448,"['4', '4', '4', '2', '2']",FH
299,24,1056,22704,316860,"['3', '3', '3', 'A', 'A']",FH
300,24,1056,22560,311136,"['3', '3', '3', 'K', 'K']",FH
301,24,1056,22416,305376,"['3', '3', '3', 'Q', 'Q']",FH
302,24,1056,22272,299616,"['3', '3', '3', 'J', 'J']",FH
303,24,1056,22128,293856,"['3', '3', '3', 'T', 'T']",FH
304,24,1056,21984,288096,"['3', '3', '3', '9', '9']",FH
305,24,1056,21840,282336,"['3', '3', '3', '8', '8']",FH
306,24,1056,21696,276540,"['3', '3', '3', '7', '7']",FH
307,24,1056,21552,270744,"['3', '3', '3', '6', '6']",FH
308,24,1056,21408,264948,"['3', '3', '3', '5', '5']",FH
309,24,1056,21264,259188,"['3', '3', '3', '4', '4']",FH
310,24,1072,21824,267448,"['3', '3', '3', '2', '2']",FH
311,24,1056,22704,316764,"['2', '2', '2', 'A', 'A']",FH
312,24,1056,22560,311040,"['2', '2', '2', 'K', 'K']",FH
313,24,1056,22416,305280,"['2', '2', '2', 'Q', 'Q']",FH
314,24,1056,22272,299520,"['2', '2', '2', 'J', 'J']",FH
315,24,1056,22128,293760,"['2', '2', '2', 'T', 'T']",FH
316,24,1056,21984,288000,"['2', '2', '2', '9', '9']",FH
317,24,1056,21840,282240,"['2', '2', '2', '8', '8']",FH
318,24,1056,21696,276480,"['2', '2', '2', '7', '7']",FH
319,24,1056,21552,270684,"['2', '2', '2', '6', '6']",FH
320,24,1056,21408,264888,"['2', '2', '2', '5', '5']",FH
321,24,1056,21264,259128,"['2', '2', '2', '4', '4']",FH
322,24,1056,21120,253368,"['2', '2', '2', '3', '3']",FH
323,4,184,4140,59980,"['A', 'K', 'Q', 'J', '9']",F
324,4,180,3960,56020,"['A', 'K', 'Q', 'J', '8']",F
325,4,176,3784,52236,"['A', 'K', 'Q', 'J', '7']",F
326,4,172,3612,48624,"['A', 'K', 'Q', 'J', '6']",F
327,4,168,3444,45176,"['A', 'K', 'Q', 'J', '5']",F
328,4,164,3280,41900,"['A', 'K', 'Q', 'J', '4']",F
329,4,160,3120,38780,"['A', 'K', 'Q', 'J', '3']",F
330,4,156,2964,35816,"['A', 'K', 'Q', 'J', '2']",F
331,4,184,4140,59976,"['A', 'K', 'Q', 'T', '9']",F
332,4,180,3960,56020,"['A', 'K', 'Q', 'T', '8']",F
333,4,176,3784,52236,"['A', 'K', 'Q', 'T', '7']",F
334,4,172,3612,48624,"['A', 'K', 'Q', 'T', '6']",F
335,4,168,3444,45176,"['A', 'K', 'Q', 'T', '5']",F
336,4,164,3280,41900,"['A', 'K', 'Q', 'T', '4']",F
337,4,160,3120,38780,"['A', 'K', 'Q', 'T', '3']",F
338,4,156,2964,35816,"['A', 'K', 'Q', 'T', '2']",F
339,4,180,3960,56016,"['A', 'K', 'Q', '9', '8']",F
340,4,176,3784,52236,"['A', 'K', 'Q', '9', '7']",F
341,4,172,3612,48624,"['A', 'K', 'Q', '9', '6']",F
342,4,168,3444,45176,"['A', 'K', 'Q', '9', '5']",F
343,4,164,3280,41900,"['A', 'K', 'Q', '9', '4']",F
344,4,160,3120,38780,"['A', 'K', 'Q', '9', '3']",F
345,4,156,2964,35816,"['A', 'K', 'Q', '9', '2']",F
346,4,176,3784,52232,"['A', 'K', 'Q', '8', '7']",F
347,4,172,3612,48624,"['A', 'K', 'Q', '8', '6']",F
348,4,168,3444,45176,"['A', 'K', 'Q', '8', '5']",F
349,4,164,3280,41900,"['A', 'K', 'Q', '8', '4']",F
350,4,160,3120,38780,"['A', 'K', 'Q', '8', '3']",F
351,4,156,2964,35816,"['A', 'K', 'Q', '8', '2']",F
352,4,172,3612,48620,"['A', 'K', 'Q', '7', '6']",F
353,4,168,3444,45176,"['A', 'K', 'Q', '7', '5']",F
354,4,164,3280,41900,"['A', 'K', 'Q', '7', '4']",F
355,4,160,3120,38780,"['A', 'K', 'Q', '7', '3']",F
356,4,156,2964,35816,"['A', 'K', 'Q', '7', '2']",F
357,4,168,3444,45176,"['A', 'K', 'Q', '6', '5']",F
358,4,164,3280,41900,"['A', 'K', 'Q', '6', '4']",F
359,4,160,3120,38780,"['A', 'K', 'Q', '6', '3']",F
360,4,156,2964,35816,"['A', 'K', 'Q', '6', '2']",F
361,4,164,3276,41744,"['A', 'K', 'Q', '5', '4']",F
362,4,160,3120,38780,"['A', 'K', 'Q', '5', '3']",F
363,4,156,2964,35816,"['A', 'K', 'Q', '5', '2']",F
364,4,160,3120,38780,"['A', 'K', 'Q', '4', '3']",F
365,4,156,2964,35816,"['A', 'K', 'Q', '4', '2']",F
366,4,156,2964,35816,"['A', 'K', 'Q', '3', '2']",F
367,4,184,4136,59804,"['A', 'K', 'J', 'T', '9']",F
368,4,180,3960,56020,"['A', 'K', 'J', 'T', '8']",F
369,4,176,3784,52236,"['A', 'K', 'J', 'T', '7']",F
370,4,172,3612,48624,"['A', 'K', 'J', 'T', '6']",F
371,4,168,3444,45176,"['A', 'K', 'J', 'T', '5']",F
372,4,164,3280,41900,"['A', 'K', 'J', 'T', '4']",F
373,4,160,3120,38780,"['A', 'K', 'J', 'T', '3']",F
374,4,156,2964,35816,"['A', 'K', 'J', 'T', '2']",F
375,4,180,3960,56016,"['A', 'K', 'J', '9', '8']",F
376,4,176,3784,52236,"['A', 'K', 'J', '9', '7']",F
377,4,172,3612,48624,"['A', 'K', 'J', '9', '6']",F
378,4,168,3444,45176,"['A', 'K', 'J', '9', '5']",F
379,4,164,3280,41900,"['A', 'K', 'J', '9', '4']",F
380,4,160,3120,38780,"['A', 'K', 'J', '9', '3']",F
381,4,156,2964,35816,"['A', 'K', 'J', '9', '2']",F
382,4,176,3784,52232,"['A', 'K', 'J', '8', '7']",F
383,4,172,3612,48624,"['A', 'K', 'J', '8', '6']",F
384,4,168,3444,45176,"['A', 'K', 'J', '8', '5']",F
385,4,164,3280,41900,"['A', 'K', 'J', '8', '4']",F
386,4,160,3120,38780,"['A', 'K', 'J', '8', '3']",F
387,4,156,2964,35816,"['A', 'K', 'J', '8', '2']",F
388,4,172,3612,48620,"['A', 'K', 'J', '7', '6']",F
389,4,168,3444,45176,"['A', 'K', 'J', '7', '5']",F
390,4,164,3280,41900,"['A', 'K', 'J', '7', '4']",F
391,4,160,3120,38780,"['A', 'K', 'J', '7', '3']",F
392,4,156,2964,35816,"['A', 'K', 'J', '7', '2']",F
393,4,168,3444,45176,"['A', 'K', 'J', '6', '5']",F
394,4,164,3280,41900,"['A', 'K', 'J', '6', '4']",F
395,4,160,3120,38780,"['A', 'K', 'J', '6', '3']",F
396,4,156,2964,35816,"['A', 'K', 'J', '6', '2']",F
397,4,164,3276,41744,"['A', 'K', 'J', '5', '4']",F
398,4,160,3120,38780,"['A', 'K', 'J', '5', '3']",F
399,4,156,2964,35816,"['A', 'K', 'J', '5', '2']",F
400,4,160,3120,38780,"['A', 'K', 'J', '4', '3']",F
401,4,156,2964,35816,"['A', 'K', 'J', '4', '2']",F
402,4,156,2964,35816,"['A', 'K', 'J', '3', '2']",F
403,4,180,3956,55848,"['A', 'K', 'T', '9', '8']",F
404,4,176,3784,52236,"['A', 'K', 'T', '9', '7']",F
405,4,172,3612,48624,"['A', 'K', 'T', '9', '6']",F
406,4,168,3444,45176,"['A', 'K', 'T', '9', '5']",F
407,4,164,3280,41900,"['A', 'K', 'T', '9', '4']",F
408,4,160,3120,38780,"['A', 'K', 'T', '9', '3']",F
409,4,156,2964,35816,"['A', 'K', 'T', '9', '2']",F
410,4,176,3784,52232,"['A', 'K', 'T', '8', '7']",F
411,4,172,3612,48624,"['A', 'K', 'T', '8', '6']",F
